artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Bob Janga,5Egkx8edirN0pR2R58C2ME,Sinisteraz,3.85e-05,0.812,125381,0.45399999999999996,0.917,4,0.0696,-9.331,0,0.0965,123.014,4,0.281,0
Junkee,67r3lnzstENsRYlZWq6DYP,Tenon,0.0018,0.802,131016,0.695,0.915,6,0.109,-7.382000000000001,0,0.0622,119.98899999999999,4,0.316,0
34 Feet,4X8W9SSu9D5MujoxwIwqw6,Strap - Original mix,0.0016,0.8220000000000001,132742,0.789,0.774,0,0.0727,-8.783,1,0.124,123.97200000000001,4,0.9229999999999999,0
PUBG,4lncSzeN8WOH2iHEO593iZ,Roxa - Original mix,0.00053,0.809,124016,0.629,0.937,8,0.0788,-10.081,1,0.0605,119.99,4,0.502,0
Big Koola,1L67mcddFQ65MfA3wO3MHV,Catholic - Original mix,0.000452,0.8059999999999999,124016,0.46299999999999997,0.938,6,0.0605,-10.788,0,0.299,119.985,4,0.684,0
Electrofanatik,21DU83QG4jB4mQKh76X32h,Noboz,6.96e-05,0.812,125381,0.452,0.897,5,0.09699999999999999,-9.312000000000001,0,0.0632,123.042,4,0.499,0
Alex Delgado,08nyEVO684j7pcTAhEY2zJ,Astou - Original mix,2.6600000000000003e-05,0.81,148016,0.94,0.917,10,0.0351,-9.391,0,0.0543,120.022,4,0.444,0
Cubby One,4LMVmlX8WXPu8OyPwzkNpR,Reee,0.000728,0.813,125381,0.5720000000000001,0.89,2,0.0864,-9.564,1,0.0871,123.025,4,0.6729999999999999,0
ANNA-NO,7JYCpIzpoidDOnnmxmHwtj,Bathroom - Original mix,0.00035800000000000003,0.759,124016,0.855,0.802,5,0.0489,-12.001,0,0.0614,119.90100000000001,4,0.8079999999999999,0
Sasha 23,0mmFibEg5NuULMwTVN2tRU,Shuffle - Original mix,7.69e-05,0.81,148016,0.948,0.894,10,0.0509,-9.367,0,0.0569,119.988,4,0.754,0
Zytrex,01qc7HHvJdcNviyizhuCSI,Bordering - Original mix,0.0108,0.807,124016,0.615,0.9179999999999999,4,0.0812,-11.519,0,0.111,120.006,4,0.603,0
Zeus Whey,3ejMaQNGpxUWpFxik74rfH,Stool - Original mix,3.2200000000000003e-05,0.7929999999999999,124016,0.5379999999999999,0.8270000000000001,7,0.0569,-9.82,1,0.0744,119.99,3,0.5920000000000001,0
Mamuton,1jFL774GMnBl5Esa9SN4rL,Mamut - Original mix,5.11e-05,0.812,124016,0.511,0.907,5,0.0618,-10.902999999999999,0,0.0927,119.98700000000001,4,0.618,0
Gladiator Osman,2FLJcyNuD454zGjSLf6uOk,Bulk - Original mix,4.36e-05,0.809,124016,0.604,0.9229999999999999,1,0.0524,-10.482000000000001,1,0.0874,120.046,4,0.713,0
Curbo,4oBCrYdTrcBPouBzRAO95u,Tuesday,0.00295,0.8079999999999999,124893,0.53,0.494,11,0.10800000000000001,-10.356,0,0.0503,122.995,4,0.7440000000000001,0
Electrofanatik,3zudm51wD90h7X7gncfhay,Dong,0.00025,0.812,124944,0.778,0.865,6,0.0975,-8.429,1,0.0458,123.05,4,0.6829999999999999,0
Dan Thomas,7G8Qj5uNs9XShNtHJpFNTj,Beb,0.0958,0.5479999999999999,127485,0.722,0.8590000000000001,9,0.16899999999999998,-10.046,0,0.0335,122.585,4,0.746,0
Mr Little Jeans,3Z78Hd9B1OndIo7XJajwYR,Forgetter,0.125,0.821,254122,0.512,0.00703,5,0.0879,-7.138,0,0.0596,128.035,4,0.5429999999999999,28
Orjan Nilsen,16UKw34UY9w40Vc7TOkPpA,Nothing Here But Love,0.0448,0.574,189467,0.8809999999999999,0.0,5,0.0756,-2.15,0,0.166,126.131,4,0.551,29
ANNA-NO,6GYRW61K0Rd5kdrW62sb2d,Week - Original mix,0.00117,0.8540000000000001,132742,0.741,0.863,9,0.0727,-8.298,1,0.149,124.027,4,0.9109999999999999,0
Mbo Mentho,3PmPdmHHlDylHFW8yF5f8H,Reledaus,0.409,0.574,171000,0.46299999999999997,0.000264,11,0.11800000000000001,-23.058000000000003,0,0.0499,159.988,4,0.993,0
Burbank,7AgDITo8BVDoh2bXj2psYA,Waiting for U,0.8320000000000001,0.6990000000000001,168000,0.309,0.171,4,0.11599999999999999,-10.79,1,0.159,79.991,4,0.42200000000000004,31
PJ Lucid,1I8s0BRa9QnrlAKmSuNEM3,Martyr Luther King,0.209,0.7090000000000001,184546,0.5760000000000001,2.66e-06,9,0.152,-8.727,1,0.42700000000000005,78.706,4,0.318,41
Messiah,3NXnKCNwFNk6xVYEZE2Tmu,Bien De To,0.13,0.5720000000000001,186566,0.867,0.0,5,0.321,-6.148,0,0.386,88.148,5,0.376,22
Betty Who,0Hd2n9oE0n4szD6mzrvcV4,Friend Like Me,0.925,0.611,217466,0.23800000000000002,3.91e-06,11,0.12300000000000001,-11.93,1,0.0356,122.04700000000001,4,0.248,44
Your Smith,5Y7DSov75Ic5viePFoD0WX,The Spot,0.0617,0.935,171383,0.7559999999999999,7.6e-06,4,0.12,-6.957000000000001,1,0.084,112.045,4,0.961,48
Snow Patrol,0aYzQjr1hq0qJwp45diy5M,Heal Me,0.122,0.552,241160,0.789,4.98e-06,9,0.0874,-5.449,1,0.0242,93.93799999999999,4,0.349,53
Dirty Projectors,7B1he5MaIXjreL2R4qOa6h,Blue Bird,0.52,0.53,229333,0.521,0.0289,8,0.209,-7.939,0,0.152,117.259,3,0.529,37
Money Man,7d2RGG3rRRex2lG8LlEHYo,Bday Cake,0.0059299999999999995,0.867,109056,0.517,0.0,2,0.131,-10.482000000000001,1,0.253,130.033,4,0.179,15
Code Orange,2XhJpVPyqhDU0EPDAIBpwe,The Hunt (feat. Corey Taylor),2.62e-05,0.121,226906,0.982,0.0187,6,0.6409999999999999,-0.447,1,0.135,75.075,4,0.228,44
Demun Jones,0RS401jpQlguNb7ozzpri3,Sound on the Water,0.157,0.6859999999999999,210005,0.873,3.1e-06,9,0.15,-4.721,1,0.245,90.01299999999999,4,0.386,40
Tabi Bonney,4NoBWcboBPNVI9Lf7e3ihA,Faded,0.00432,0.858,217371,0.698,0.377,0,0.18,-8.124,1,0.16,122.999,4,0.7340000000000001,15
Trevor Hall,5iz6oTqd2Xu0FLdTwom6mK,Free,0.774,0.523,258255,0.615,2.01e-05,0,0.365,-8.136000000000001,1,0.0361,95.087,4,0.637,42
Lake Street Dive,5eyPkSDWFQNnnkZhFfE6Yo,Good Kisser - Recorded at Spotify Studios NYC,0.16699999999999998,0.57,245596,0.556,0.0,10,0.0868,-8.139,1,0.0894,158.153,4,0.691,38
UNB,4SiGRgJVUUDpMbW6LxJRCH,BLACK HEART,0.0198,0.713,185969,0.937,0.0,5,0.57,-2.1069999999999998,1,0.131,125.969,4,0.728,47
Dominion,2YWgPHZSzjfkh2dPsEuaTm,Balenciaga,0.0393,0.7509999999999999,223000,0.512,3.289999999999999e-05,11,0.267,-6.789,0,0.055999999999999994,160.016,4,0.335,2
Lecrae,1FYd1szE0RHXOAM00V4MEx,Coming In Hot,0.0271,0.89,200168,0.45399999999999996,3.58e-06,8,0.157,-8.777000000000001,1,0.26,140.041,4,0.425,70
Preme,3E2UVESx8PxFMbxrnIsJrZ,No Exit,0.5579999999999999,0.446,211304,0.38299999999999995,0.00214,1,0.111,-10.309000000000001,1,0.0647,74.953,3,0.0585,0
Kiana Ledé,2PQVLVJ1J57t7uQO4Y2Mzq,Fairplay (feat. ASAP Ferg) - Remix,0.539,0.733,167920,0.489,0.00018999999999999998,8,0.102,-9.538,1,0.306,139.94899999999998,4,0.6890000000000001,2
Southside,7H4KuOHwoKEgPla1yHhq1N,Some Nights,0.0978,0.40399999999999997,198553,0.9259999999999999,0.0,4,0.102,-4.986000000000001,0,0.7340000000000001,85.96,4,0.21100000000000002,30
Loote,6bVIL7Jn0hHto1WftJ2VxU,Longer Than I Thought,0.0922,0.75,215867,0.715,8.86e-06,9,0.395,-5.872999999999999,1,0.10099999999999999,117.98899999999999,4,0.33299999999999996,4
Sleeping At Last,0aNAiwG9kCxFKCJVbo6B1J,"July 27, 2018: Total Lunar Eclipse",0.927,0.336,102570,0.294,0.968,8,0.0965,-15.374,1,0.033,141.452,4,0.156,37
Xavier Wulf,1QozDHVFxNin5IQvFG7HZ8,Homecoming (feat. Bankroll Rico),0.239,0.914,184130,0.565,0.0,9,0.10099999999999999,-5.1,1,0.389,133.02100000000002,4,0.6809999999999999,42
Xavier Wulf,6WclEbHlipCKMaPsG8Ii1k,Eastside Sliding (feat. idontknowjeffery & Chris Travis),0.00361,0.9420000000000001,152655,0.736,0.0,2,0.106,-6.058,1,0.268,140.025,4,0.833,43
Armin van Buuren,5DmhuZg7dwVaA0XUlxxVVu,Our Origin (ASOT 874) [Tune Of The Week],0.000129,0.37200000000000005,440952,0.813,0.937,9,0.289,-11.142000000000001,0,0.0327,131.999,4,0.11800000000000001,27
Beatsole,3Rx1zM3nDFQzAOYg9Hd0D4,Shanti (ASOT 874),0.000215,0.435,277098,0.7959999999999999,0.887,2,0.40700000000000003,-12.252,1,0.0687,132.049,4,0.106,31
Ferry Corsten,6F5J2WFkygpTK89V7ovVB1,I Love You (ASOT 874),3.5499999999999996e-05,0.489,172244,0.932,0.125,2,0.294,-10.370999999999999,1,0.0432,132.003,4,0.62,23
Audien,6cVeUZciqheFBEaJ4haQdJ,Higher (ASOT 874),0.000426,0.441,151900,0.47200000000000003,0.0019,6,0.115,-12.172,0,0.0363,131.964,4,0.0655,20
Elevven,74pdubLPY21sp8poN4Jxoi,Heartbeat Tonight (ASOT 874) [Progressive Pick],8.96e-05,0.483,237556,0.743,0.0020800000000000003,6,0.11,-10.562999999999999,0,0.09699999999999999,132.01,4,0.102,18
Denis Kenzo,0ehIsKEuHfqMLo4Z06ghys,Sweet Lie (ASOT 874) [Future Favorite],0.0458,0.376,245710,0.616,3.55e-06,1,0.502,-12.556,0,0.045,131.996,4,0.122,22
ARTY,6PqVd4RkjnOTroZI6C4WW0,Tim (ASOT 874),9.97e-05,0.165,216960,0.8390000000000001,0.903,4,0.201,-11.005999999999998,1,0.0344,128.076,4,0.326,21
Davey Asprey,0bh4eFCAXeWDaFBr2aHtuP,Azile (ASOT 874),0.0226,0.361,117170,0.551,0.92,3,0.613,-12.575,1,0.0382,135.063,4,0.446,19
ARTY,7915iolh0QvdpvSIiAj3h4,Rain (ASOT 874),0.000128,0.368,202570,0.644,0.0654,10,0.195,-10.883,1,0.0368,127.80799999999999,4,0.0694,19
ARTY,1F71wFfIO5MMcD5YRIgAi8,Sunrise (ASOT 874),0.00185,0.27399999999999997,191780,0.40399999999999997,0.0031899999999999997,0,0.23199999999999998,-11.174000000000001,1,0.0354,127.805,4,0.22,19
Neffex,2yB5GBaK8C2zsKLlHV4ND3,Climb,0.039,0.775,144000,0.685,0.0,5,0.0725,-7.5520000000000005,1,0.369,140.142,4,0.9490000000000001,41
Armin van Buuren,6clAqlVyqTibiYdZENHbg9,"A State Of Trance (ASOT 874) - Track Recap, Pt. 1",0.11199999999999999,0.516,31720,0.685,0.0,6,0.369,-10.207,0,0.24100000000000002,91.191,3,0.821,14
Armin van Buuren,3wEVmwMEPENPXaWgW2hAyR,"A State Of Trance (ASOT 874) - Track Recap, Pt. 2",0.11599999999999999,0.5920000000000001,35060,0.6759999999999999,0.0,6,0.552,-10.949000000000002,0,0.365,64.03699999999999,3,0.725,14
Armin van Buuren,7ETDWSQx083kZ1oybLDGzS,"A State Of Trance (ASOT 874) - Track Recap, Pt. 3",0.0306,0.489,50700,0.599,0.0,11,0.32799999999999996,-10.637,0,0.27,135.446,5,0.599,13
Armin van Buuren,08RRNkA508ClDTE0QYqDYn,A State Of Trance (ASOT 874) - ASOT Live From Tommorowland 2018 Announcement,0.0879,0.527,35990,0.757,0.0,4,0.45399999999999996,-10.241,0,0.298,67.01899999999999,3,0.953,14
Armin van Buuren,7frbTr9qYVdeXjUUC6HwOj,"A State Of Trance (ASOT 874) - Coming Up, Pt. 3",0.151,0.5379999999999999,49120,0.858,0.0,8,0.14400000000000002,-11.037,1,0.16,132.088,4,0.703,14
Vincent de Moor,6CHzMqs0evRZb9bczFWnyM,Fly Away (ASOT 874) - KhoMha Remix,0.000195,0.47100000000000003,191930,0.888,0.893,1,0.688,-11.833,1,0.0519,130.07399999999998,4,0.304,18
Rub!k,1h8QJnnfhkpGDq1wLw6Wa9,Breathe Deep (ASOT 874),0.00412,0.44799999999999995,195750,0.738,0.9109999999999999,11,0.26899999999999996,-11.675999999999998,1,0.0773,130.058,4,0.109,16
Xavier Wulf,753SBYPEiJG9wTkXBSgMce,Wake Walker,0.16899999999999998,0.8320000000000001,133349,0.457,2.94e-05,1,0.133,-10.623,1,0.172,130.026,4,0.22699999999999998,39
Gareth Emery,0gP7v27ftkscMDsg8LblW1,Saving Light (ASOT 874) [Service For Dreamers],0.000295,0.26899999999999996,251700,0.5660000000000001,0.0707,4,0.502,-11.095999999999998,0,0.0429,131.863,4,0.0587,18
Armin van Buuren,69LlMR6xB0ZzWMd8JfPmed,"A State Of Trance (ASOT 874) - Coming Up, Pt. 2",0.18,0.45299999999999996,41565,0.507,0.0,7,0.836,-12.69,1,0.303,111.266,4,0.536,16
Fatum,55gqdKiMHGSZ2vyyL8HMAs,Petra (ASOT 874),0.00172,0.239,107120,0.657,0.971,6,0.126,-11.322000000000001,1,0.0754,129.747,4,0.146,15
Alex Sonata,7vbF57ErhjDbuyrNoq24K0,I'll Be Your Light (ASOT 874),0.00564,0.299,227240,0.6409999999999999,0.000987,0,0.705,-11.93,0,0.0519,132.014,4,0.126,32
Armin van Buuren,0P2U58g8RHQ51exzBZglwu,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 1",0.242,0.551,34900,0.551,0.0,1,0.716,-10.970999999999998,1,0.81,172.205,5,0.759,12
Specific Slice,15XCwvNmzx7NhUmHWwvYEV,Inception (ASOT 874),0.00018999999999999998,0.395,298810,0.8590000000000001,0.384,1,0.733,-11.905999999999999,1,0.095,131.68200000000002,4,0.251,14
Andy Moor,7BOPIDwfcZxrijQsmmIJNm,There Is Light (ASOT 874) - A.R.D.I. Remix,0.00016999999999999999,0.45399999999999996,252150,0.966,0.715,0,0.47700000000000004,-11.679,0,0.24,137.035,4,0.0536,16
Xavier Wulf,2vHpodBjzmquS1otuCN9Ra,A Day's Routine - Interlude,0.0025,0.6509999999999999,137179,0.857,0.493,1,0.115,-7.672000000000001,0,0.0609,169.97,5,0.139,37
Armin van Buuren,4b015GCZ0TsIGAx5NpDs7I,"A State Of Trance (ASOT 874) - Coming Up, Pt. 1",0.0198,0.46,31224,0.662,0.0,2,0.299,-10.579,1,0.33299999999999996,132.468,4,0.706,16
Armin van Buuren,38OiUD6l3Tm1jgSLGC9GNH,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 2",0.23600000000000002,0.657,31110,0.47100000000000003,0.0,9,0.862,-10.784,1,0.40399999999999997,77.584,3,0.867,12
Hamzeh,5BCnkUBpOza5RMvAc7hhhW,Frostbite (ASOT 874),0.0077599999999999995,0.433,176070,0.787,0.883,8,0.39,-11.765,1,0.0378,133.515,4,0.214,14
MaRLo,6d4kE5Kz6ZD4XNrItzdG2m,Haunted (ASOT 874) - Avao Remix,0.000977,0.499,243540,0.722,0.515,7,0.331,-11.55,1,0.0429,136.174,4,0.0844,17
Armin van Buuren,3VxbUOrzirMCahEIsA1d6V,A State Of Trance (ASOT 874) - Intro,0.0027600000000000003,0.29100000000000004,31315,0.905,0.0,2,0.369,-10.378,1,0.165,134.22299999999998,1,0.341,17
Armin van Buuren,7n0tdLess1KeIFAHGH0fVM,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 3",0.276,0.6679999999999999,33780,0.462,0.0,9,0.6659999999999999,-10.292,1,0.38,89.691,5,0.907,12
Armin van Buuren,5F1lGLl5wpnhC3y8cYMpho,"A State Of Trance (ASOT 874) - Coming Up, Pt. 4",0.115,0.5379999999999999,48750,0.795,0.0,11,0.855,-10.377,0,0.0933,100.56700000000001,4,0.721,12
Armin van Buuren,7ftu8yJOfPaM6T8wE81Mt8,"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 4",0.305,0.76,36520,0.462,0.0,11,0.409,-11.029000000000002,0,0.42200000000000004,88.645,5,0.9179999999999999,12
Adam Ellis,3HRLlKWdmzXfAmbcrOkevH,An Ember In The Ashes (ASOT 874),0.00010800000000000001,0.408,268410,0.9790000000000001,0.981,1,0.55,-11.927999999999999,1,0.0673,135.993,4,0.11599999999999999,16
Maarten de Jong,4mAMQYAVYgogB0aKVC6TIp,Cast Iron (ASOT 874),9.14e-06,0.24600000000000002,147280,0.802,0.905,7,0.536,-10.609000000000002,1,0.0431,135.974,4,0.152,17
Armin van Buuren,6c6yKJwLGzXOu0vEakOH13,A State Of Trance (ASOT 874) - Contact 'Service For Dreamers',0.0577,0.555,38230,0.547,0.0,9,0.66,-11.485999999999999,0,0.341,64.775,4,0.6459999999999999,11
Armin van Buuren,1S0RxwsyXIzBEgFjSm5kSR,"A State Of Trance (ASOT 874) - Track Recap, Pt. 4",0.0478,0.42700000000000005,33240,0.659,0.0,7,0.348,-10.572000000000001,1,0.20199999999999999,134.254,4,0.698,11
Jeremy Vancaulart,2VcMphlgKGvL1qkYGc8x6U,Hurt (ASOT 874),7.840000000000001e-05,0.428,224650,0.975,0.48,6,0.708,-10.790999999999999,1,0.131,138.026,4,0.0398,18
Armin van Buuren,4Z2PSznN20oTgid0Oipjcg,"A State Of Trance (ASOT 874) - Coming Up, Pt. 5",0.0769,0.486,34920,0.805,0.0,8,0.256,-10.663,1,0.249,131.339,1,0.391,11
Armin van Buuren,4Qx6U2LJUc7BsRJdeJtofE,"A State Of Trance (ASOT 874) - This Week's Service For Dreamers, Pt. 1",0.192,0.602,34150,0.49,0.0,11,0.894,-11.624,1,0.43799999999999994,68.184,4,0.575,11
Monada,6m7oudpYFspprKzxVAEr6q,Sunbeam (ASOT 874),1.7e-05,0.365,158780,0.8809999999999999,0.966,4,0.428,-12.329,0,0.0455,137.986,4,0.12,13
Armin van Buuren,6YAL6PEqjMuZQ7KTLD8W4q,We Control The Sunlight (ASOT 874) - Dan Stone Remix,1.26e-05,0.418,235450,0.86,0.465,6,0.22399999999999998,-11.502,0,0.0735,137.866,4,0.20600000000000002,16
Armin van Buuren,7jaWLAOLee9FTHwpCT6Ktr,"A State Of Trance (ASOT 874) - This Week's Service For Dreamers, Pt. 2",0.207,0.599,32200,0.529,0.0,11,0.848,-11.017999999999999,0,0.325,133.665,4,0.585,11
Armin van Buuren,1n5fuPLpUn9U5uqJGWfV7L,"A State Of Trance (ASOT 874) - This Week's Service For Dreamers, Pt. 3",0.205,0.564,36370,0.473,0.0,1,0.358,-11.533,0,0.324,119.102,3,0.309,11
John Askew,65xGXbgdMo3KZGMrcbLNuE,On The Rocks (ASOT 874),0.00294,0.387,137390,0.9890000000000001,0.9590000000000001,1,0.684,-11.694,1,0.0813,138.07399999999998,4,0.33,18
Armin van Buuren,4XG9o1DYkfDf4q5olv04ca,Missing (ASOT 874) - Jorn van Deynhoven Remix,1.89e-05,0.456,192000,0.948,0.457,7,0.28800000000000003,-11.607999999999999,1,0.0953,138.004,4,0.081,16
MaRLo,7EzEEmLfztTRDMLqSDE5Dk,Always Be Around (ASOT 874) - Pinkque Remix,0.00020899999999999998,0.392,205160,0.816,0.371,4,0.327,-11.267000000000001,0,0.048,138.077,4,0.0373,15
Armin van Buuren,6T1VY8XrCMCImAWrg9nJcE,"A State Of Trance (ASOT 874) - Track Recap, Pt. 5",0.10300000000000001,0.409,31340,0.8390000000000001,0.0,10,0.657,-10.477,0,0.314,139.716,4,0.652,10
Cosmic Gate,2FAWvFvbnIQewuisjPhcmh,Exploration Of Space (ASOT 874),0.00704,0.425,58910,0.922,0.0109,7,0.331,-10.325,1,0.0526,138.055,4,0.695,12
ALPHA 9,0geQd4APFu9K4FjqwKkZjp,Burning Heart (ASOT 874),1.39e-05,0.44799999999999995,210000,0.85,0.0228,0,0.539,-10.879000000000001,1,0.0349,128.05200000000002,4,0.218,16
Avao,05bIw49oVIztN3mwOyYKY5,Activate (ASOT 874) [Trending Track],0.000648,0.465,64370,0.855,0.254,7,0.462,-11.082,1,0.054000000000000006,138.076,4,0.5429999999999999,12
Audien,7yHAA8e16KX1IBOswH2KRc,Wayfarer (ASOT 874),0.000151,0.43,89980,0.8759999999999999,0.317,7,0.184,-12.224,0,0.0941,127.994,4,0.75,14
Armin van Buuren,7iaOnKcGfobqKucWY3XBR1,A State Of Trance (ASOT 874) - Shout Outs,0.28300000000000003,0.465,32190,0.616,0.0,11,0.584,-10.644,1,0.19899999999999998,148.377,4,0.878,10
Armin van Buuren,4J02UuHtK28HzY43XpOjz8,EIFORYA (ASOT 874),0.0472,0.254,45330,0.314,0.51,0,0.18100000000000002,-12.533,1,0.043,138.033,4,0.493,11
ALPHA 9,25I7GOLJGXTg6Euw3t7f6B,Skin (ASOT 874),0.19,0.423,154470,0.449,0.43,2,0.48200000000000004,-12.175999999999998,0,0.0335,128.059,4,0.165,14
Above & Beyond,4QtksZ3EZhNpiBlNAj3WU6,My Own Hymn (ASOT 874) - ALPHA 9 Remix,0.000643,0.29600000000000004,261059,0.58,0.000176,0,0.262,-11.186,1,0.0476,127.613,4,0.156,14
Armin van Buuren,0MiOAORl4xjf5FR7HruHKx,A State Of Trance (ASOT 874) - Vote For DJ Mag Top 100,0.0416,0.441,42230,0.836,0.0,0,0.307,-10.729000000000001,0,0.095,137.64700000000002,4,0.634,10
Reverse,4nRayAcWEtaviWhQ8O6xCn,Absolute Reality (ASOT 874) - ARTY Remix,4.57e-05,0.42100000000000004,180410,0.561,0.8,10,0.16899999999999998,-12.234000000000002,1,0.0468,127.934,4,0.0524,15
ALPHA 9,01GJ1uuXSQycnqSHCk43c7,The Night Is Ours (ASOT 874),0.0005200000000000001,0.39899999999999997,173790,0.5710000000000001,0.0594,5,0.27699999999999997,-11.42,0,0.0458,128.064,4,0.243,15
Armin van Buuren,3MxEH4OLGgyXzdi0y3QThf,"A State Of Trance (ASOT 874) - Track Recap, Pt. 6",0.0493,0.423,33160,0.675,0.0,7,0.433,-10.714,1,0.19899999999999998,142.369,3,0.8079999999999999,10
Deniz Koyu,0lNjg4MOf3X36oZmkmnVm2,Hydra (ASOT 874),0.00883,0.408,75000,0.6679999999999999,0.96,8,0.151,-11.939,0,0.0584,127.87899999999999,4,0.0917,13
Rafael Frost,28ujdbx9KMnEeaGrRLLqUV,New York (ASOT 874),4.9000000000000005e-06,0.523,40990,0.586,0.765,1,0.8320000000000001,-11.145,1,0.057,127.962,4,0.336,11
